n_snp,var_cos,cache_pool_cos,ref_pool_cos,cache_relerr,ref_relerr
1,1.0000001192092896,0.9999992251396179,0.9999991655349731,0.0013869801769033074,0.001349742989987135
1,0.9999997615814209,0.9999990463256836,0.9999990463256836,0.0014903686242178082,0.0014685573987662792
1,1.000000238418579,0.9999929666519165,0.9999922513961792,0.0038077968638390303,0.0039740013889968395
1,0.9999999403953552,0.9999988079071045,0.9999986886978149,0.0016009649261832237,0.0016774659743532538
1,0.9999998807907104,0.9999985098838806,0.9999983310699463,0.002208719728514552,0.0023771757259964943
1,1.0,0.999999463558197,0.9999994039535522,0.00103181810118258,0.0010866255033761263
1,1.0,0.9999983310699463,0.9999976754188538,0.001911786152049899,0.0021389664616435766
1,1.0000001192092896,0.9999980926513672,0.9999979734420776,0.0019472847925499082,0.0020117945969104767
1,0.9999998807907104,0.9999989867210388,0.9999991655349731,0.001383334631100297,0.0013876750599592924
1,1.0,0.9999990463256836,0.9999986886978149,0.0014548668405041099,0.0019264639122411609
1,0.9999998807907104,0.9999969601631165,0.9999972581863403,0.0023945586290210485,0.002438630908727646
1,1.0,0.9999971389770508,0.9999971389770508,0.00237443670630455,0.0024116234853863716
1,1.0,0.9999988079071045,0.9999983310699463,0.001867656479589641,0.0022271904163062572
1,0.9999998807907104,0.9999991655349731,0.999998927116394,0.0013692246284335852,0.0015282391104847193
1,0.9999999403953552,0.999998927116394,0.9999983906745911,0.001977260923013091,0.0022002088371664286
1,1.0,0.9999998807907104,0.9999997615814209,0.0005394433974288404,0.0005952685023657978
1,0.9999999403953552,0.9999988079071045,0.9999988079071045,0.0015315964119508862,0.0015394779620692134
1,1.000000238418579,1.0,0.9999998807907104,0.000411317654652521,0.0004601716354954988
1,0.9999999403953552,0.9999990463256836,0.9999988079071045,0.001398700987920165,0.0014542554272338748
1,0.9999998807907104,0.9999992847442627,0.9999991655349731,0.001157386926934123,0.0013015802251175046
1,1.0,0.9999961256980896,0.9999960660934448,0.0028081927448511124,0.002852716716006398
2,0.9999995231628418,0.9999997019767761,0.9999995827674866,0.0008705551153980196,0.0009708345751278102
1,0.9999999403953552,0.9999998807907104,0.9999995231628418,0.0005522874416783452,0.0009035402326844633
1,0.9999999403953552,0.999997615814209,0.9999970197677612,0.002433833433315158,0.0027085421606898308
1,1.0,0.9999958276748657,0.999995768070221,0.0030253564473241568,0.0030633078422397375
1,1.0,0.9999988675117493,0.9999986886978149,0.0016608727164566517,0.001751011935994029
1,0.9999998807907104,0.999997615814209,0.9999973773956299,0.0023039872758090496,0.002435792237520218
